ref	text	parallel	translation
Mt.6.31	ni maurnaiþ nu qiþandans ƕa matjam aiþþau ƕa drigkam aiþþau ƕe wasjaima		
Mt.6.32	all auk þata þiudos sokjand waituh þan atta izwar sa ufar himinam þatei þaurbuþ		
Mt.7.12	taujaina izwis mans swa jah jus taujaiþ im þata auk ist witoþ jah praufeteis		
Mt.7.13	inngaggaiþ þairh aggwu daur unte braid daur jah rums wigs sa brigganda in fralustai jah managai sind þai inngaleiþandans þairh þata		
Mt.7.14	ƕan aggwu þata daur jah þraihans wigs sa brigganda in libainai jah fawai sind þai bigitandans þana		
Mt.7.15	atsaiƕiþ sweþauh faura liugnapraufetum þaim izei qimand at izwis in wastjom lambe iþ innaþro sind wulfos wilwandans		
Mt.7.16	bi akranam ize ufkunnaiþ ins ibai lisand af þaurnum weinabasja aiþþau af wigadeinom smakkans		
Mt.7.17	swa all bagme godaize akrana goda gataujiþ iþ sa ubila bagms akrana ubila gataujiþ		
Mt.7.18	ni mag bagms þiuþeigs akrana ubila gataujan nih bagms ubils akrana þiuþeiga gataujan		
Mt.7.19	all bagme ni taujandane akran god usmaitada jah in fon atlagjada		
Mt.7.20	þannu bi akranam ize ufkunnaiþ ins		
Mt.7.21	ni ƕazuh saei qiþiþ mis frauja frauja inngaleiþiþ in þiudangardja himine ak sa taujands wiljan attins meinis þis in himinam		
Mt.7.22	managai qiþand mis in jainamma daga frauja frauja niu þeinamma namin praufetidedum jah þeinamma namin unhulþons uswaurpum jah þeinamma namin mahtins mikilos gatawidedum		
Mt.7.23	jah þan andhaita im þatei ni ƕanhun kunþa izwis afleiþiþ fairra mis jus waurkjandans unsibjona		
Mt.7.24	ƕazuh nu saei hauseiþ waurda meina jah taujiþ þo galeiko ina waira frodamma saei gatimrida razn sein ana staina		
Mt.7.25	jah atiddja dalaþ rign jah qemun aƕos jah waiwoun windos jah bistugqun bi þamma razna jainamma jah ni gadraus unte gasuliþ was ana staina		
Mt.7.26	jah ƕazuh saei hauseiþ waurda meina jah ni taujiþ þo galeikoda mann dwalamma saei gatimrida razn sein ana malmin		
Mt.7.27	jah atiddja dalaþ rign jah qemun aƕos jah waiwoun windos jah bistugqun bi jainamma razna jah gadraus jah was drus is mikils		
Mt.7.28	jah warþ þan ustauh Iesus þo waurda biabridedun manageins ana laiseinai is		
Mt.7.29	was auk laisjands ins swe waldufni habands jah ni swaswe bokarjos		
Mt.8.1	dalaþ þan atgaggandin imma af fairgunja laistidedun afar imma iumjons managos		
Mt.8.2	jah sai manna þrutsfill habands durinnands inwait ina qiþands frauja jabai wileis magt mik gahrainjan		
Mt.8.3	jah ufrakjands handu attaitok imma qiþands wiljau wairþ hrains jah suns hrain warþ þata þrutsfill is		
Mt.8.4	jah qaþ imma Iesus saiƕ ei mann ni qiþais ak gagg þuk silban ataugei gudjin jah atbair giba þoei anabauþ Moses du weitwodiþai im		
Mt.8.5	afaruh þan þata innatgaggandin imma in Kafarnaum duatiddja imma hundafaþs bidjands ina		
Mt.8.6	jah qiþands frauja þiumagus meins ligiþ in garda usliþa harduba balwiþs		
Mt.8.7	jah qaþ du imma Iesus ik qimands gahailja ina		
Mt.8.8	jah andhafjands sa hundafaþs qaþ frauja ni im wairþs ei uf hrot mein inngaggais ak þatainei qiþ waurda jah gahailniþ sa þiumagus meins		
Mt.8.9	jah auk ik manna im habands uf waldufnja meinamma gadrauhtins jah qiþa du þamma gagg jah gaggiþ jah anþaramma qim jah qimiþ jah du skalka meinamma tawei þata jah taujiþ		
Mt.8.10	gahausjands þan Iesus sildaleikida jah qaþ du þaim afarlaistjandam amen qiþa izwis ni in Israela swalauda galaubein bigat		
Mt.8.11	aþþan qiþa izwis þatei managai fram urrunsa jah saggqa qimand jah anakumbjand miþ Abrahama jah Isaka jah Iakoba in þiudangardjai himine		
Mt.8.12	iþ þai sunjus þiudangardjos uswairpanda in riqis þata hindumisto jainar wairþiþ grets jah krusts tunþiwe		
Mt.8.13	jah qaþ Iesus þamma hundafada gagg jah swaswe galaubides wairþai þus jah gahailnoda sa þiumagus is in jainai ƕeilai		
Mt.8.14	jah qimands Iesus in garda Paitraus jah gasaƕ swaihron is ligandein in heitom		
Mt.8.15	jah attaitok handau izos jah aflailot ija so heito jah urrais jah andbahtida imma		
Mt.8.16	at andanahtja þan waurþanamma atberun du imma daimonarjans managans jah uswarp þans ahmans waurda jah allans þans ubil habandans gahailida		
Mt.8.17	ei usfullnodedi þata gamelido þairh Esaïan praufetu qiþandan sa unmahtins unsaros usnam jah sauhtins usbar		
Mt.8.18	gasaiƕands þan Iesus managans hiuhmans bi sik haihait galeiþan siponjans hindar marein		
Mt.8.19	jah duatgaggands ains bokareis qaþ du imma laisari laistja þuk þisƕaduh þadei gaggis		
Mt.8.20	jah qaþ du imma Iesus fauhons grobos aigun jah fuglos himinis sitlans iþ sunus mans ni habaiþ ƕar haubiþ sein anahnaiwjai		
Mt.8.21	anþaruh þan siponje is qaþ du imma frauja uslaubei mis frumist galeiþan jah gafilhan attan meinana		
Mt.8.22	iþ Iesus qaþ du imma laistei afar mis jah let þans dauþans gafilhan seinans dauþans		
Mt.8.23	jah innatgaggandin imma in skip afariddjedun imma siponjos is		
Mt.8.24	jah sai wegs mikils warþ in marein swaswe þata skip gahuliþ wairþan fram wegim iþ is saislep		
Mt.8.25	jah duatgaggandans siponjos is urraisidedun ina qiþandans frauja nasei unsis fraqistnam		
Mt.8.26	jah qaþ du im Iesus ƕa faurhteiþ leitil galaubjandans þanuh urreisands gasok windam jah marein jah warþ wis mikil		
Mt.8.27	iþ þai mans sildaleikidedun qiþandans ƕileiks ist sa ei jah windos jah marei ufhausjand imma		
Mt.8.28	jah qimandin imma hindar marein in gauja Gairgaisaine gamotidedun imma twai daimonarjos us hlaiwasnom rinnandans sleidjai filu swaswe ni mahta manna usleiþan þairh þana wig jainana		
Mt.8.29	jah sai hropidedun qiþandans ƕa uns jah þus Iesu sunau gudis qamt her faur mel balwjan unsis		
Mt.8.30	wasuh þan fairra im hairda sweine managaize haldana		
Mt.8.31	iþ þo skohsla bedun ina qiþandans jabai uswairpis uns uslaubei uns galeiþan in þo hairda sweine		
Mt.8.32	jah qaþ du im gaggiþ iþ eis usgaggandans galiþun in hairda sweine jah sai run gawaurhtedun sis alla so hairda and driuson in marein jah gadauþnodedun in watnam		
Mt.8.33	iþ þai haldandans gaþlauhun jah galeiþandans gataihun in baurg all bi þans daimonarjans		
Mt.8.34	jah sai alla so baurgs usiddja wiþra Iesu jah gasaiƕandans ina bedun ei usliþi hindar markos ize		
Mt.9.1	jah atsteigands in skip ufarlaiþ jah qam in seinai baurg		
Mt.9.2	þanuh atberun du imma usliþan ana ligra ligandan jah gasaiƕands Iesus galaubein ize qaþ du þamma usliþin þrafstei þuk barnilo afletanda þus frawaurhteis þeinos		
Mt.9.3	þaruh sumai þize bokarje qeþun in sis silbam sa wajamereiþ		
Mt.9.4	jah witands Iesus þos mitonins ize qaþ duƕe jus mitoþ ubila in hairtam izwaraim		
Mt.9.5	ƕaþar ist raihtis azetizo qiþan afletanda þus frawaurhteis þau qiþan urreis jah gagg		
Mt.9.6	aþþan ei witeiþ þatei waldufni habaiþ sa sunus mans ana airþai afleitan frawaurhtins þanuh qaþ du þamma usliþin urreisands nim þana ligr þeinana jah gagg in gard þeinana		
Mt.9.7	jah urreisands galaiþ in gard seinana		
Mt.9.8	gasaiƕandeins þan manageins ohtedun sildaleikjandans jah mikilidedun guþ þana gibandan waldufni swaleikata mannam		
Mt.9.9	jah þairhleiþands Iesus jainþro gasaƕ mannan sitandan at motai Maþþaiu haitanana jah qaþ du imma laistei afar mis jah usstandands iddja afar imma		
Mt.9.10	jah warþ biþe is anakumbida in garda jah sai managai motarjos jah frawaurhtai qimandans miþanakumbidedun Iesua jah siponjam is		
Mt.9.11	jah gaumjandans Fareisaieis qeþun du þaim siponjam is duƕe miþ motarjam jah frawaurhtaim matjiþ sa laisareis izwar		
Mt.9.12	iþ Iesus gahausjands qaþ du im ni þaurbun hailai lekeis ak þai unhaili habandans		
Mt.9.13	aþþan gaggaiþ ganimiþ ƕa sijai armahairtiþa wiljau jah ni hunsl niþ~þan qam laþon uswaurhtans ak frawaurhtans		
Mt.9.14	þanuh atiddjedun siponjos Iohannes qiþandans duƕe weis jah Fareisaieis fastam filu iþ þai siponjos þeinai ni fastand		
Mt.9.15	jah qaþ du im Iesus ibai magun sunjus bruþfadis qainon und þata ƕeilos þei miþ im ist bruþfaþs iþ atgagggand dagos þan afnimada af im sa bruþfaþs jah þan fastand		
Mt.9.16	aþþan ni ƕashun lagjiþ du plata fanan þarihis ana snagan fairnjana unte afnimiþ fullon af þamma snagin jah wairsiza gataura wairþiþ		
Mt.9.17	niþ~þan giutand wein niujata in balgins fairnjans aiþþau distaurnand balgeis biþeh þan jah wein usgutniþ jah balgeis fraqistnand ak giutand wein juggata in balgins niujans jah bajoþum gabairgada		
Mt.9.18	miþþanei is rodida þata du im þaruh reiks ains qimands inwait ina qiþands þatei dauhtar meina nu gaswalt akei qimands atlagei handu þeina ana ija jah libaiþ		
Mt.9.19	jah urreisands Iesus iddja afar imma jah siponjos is		
Mt.9.20	jah sai qino bloþarinnandei ·ib· wintruns duatgaggandei aftaro attaitok skauta wastjos is		
Mt.9.21	qaþuh auk in sis jabai þatainei atteka wastjai is ganisa		
Mt.9.22	iþ Iesus gawandjands sik jah gasaiƕands þo qaþ þrafstei þuk dauhtar galaubeins þeina ganasida þuk jah ganas so qino fram þizai ƕeilai jainai		
Mt.9.23	jah qimands Iesus in garda þis reikis jah gasaiƕands swigljans jah haurnjans haurnjandans jah managein auhjondein qaþ du im		
Mt.9.24	afleiþiþ unte ni gaswalt so mawi ak slepiþ jah bihlohun ina		
Mt.9.25	þanuh þan usdribana warþ so managei atgaggands inn habaida handu izos jah urrais so mawi		
Mt.9.26	jah usiddja meriþa so and alla jaina airþa		
Mt.9.27	jah ƕarbondin Iesua jainþro laistidedun afar imma twai blindans hropjandans jah qiþandans armai uggkis sunau Daweidis		
Mt.9.28	qimandin þan in garda duatiddjedun imma þai blindans jah qaþ im Iesus ga~u~laubjats þatei magjau þata taujan qeþun du imma jai frauja		
Mt.9.29	þanuh attaitok augam ize qiþands bi galaubeinai iggqarai wairþai iggqis		
Mt.9.30	jah usluknodedun im augona jah inagida ins Iesus qiþands saiƕats ei manna ni witi		
Mt.9.31	iþ eis usgaggandans usmeridedun ina in allai airþai jainai		
Mt.9.32	þanuh biþe utusiddjedun eis sai atberun imma mannan baudana daimonari		
Mt.9.33	jah biþe usdribans warþ unhulþo rodida sa dumba jah sildaleikidedun manageins qiþandans ni aiw swa uskunþ was in Israela		
Mt.9.34	iþ Fareisaieis qeþun in fauramaþlja unhulþono usdreibiþ unhulþons		
Mt.9.35	jah bitauh Iesus baurgs allos jah haimos laisjands in gaqumþim ize jah merjands aiwaggeljon þiudangardjos jah hailjands allos sauhtins jah alla unhailja		
Mt.9.36	gasaiƕands þan þos manageins infeinoda in ize unte wesun afdauidai jah frawaurpanai swe lamba ni habandona hairdeis		
Mt.9.37	þanuh qaþ du siponjam seinaim asans raihtis managa iþ waurstwjans fawai		
Mt.9.38	bidjiþ nu fraujan asanais ei ussandjai waurstwjans in asan seina		
Mt.10.1	jah athaitands þans twalif siponjans		
Mt.10.23	þizai baurg þliuhaiþ in anþara amen auk qiþa izwis ei ni ustiuhiþ baurgs Israelis unte qimiþ sa sunus mans		
Mt.10.24	nist siponeis ufar laisarja nih skalks ufar fraujin seinamma		
Mt.10.25	ganah siponi ei wairþai swe laisareis is jah skalks swe frauja is jabai gardawaldand Baiailzaibul haihaitun und ƕan filu mais þans innakundans is		
Mt.10.26	ni nunu ogeiþ izwis ins ni waiht auk ist gahuliþ þatei ni andhuljaidau jah fulgin þatei ni ufkunnaidau		
Mt.10.27	þatei qiþa izwis in riqiza qiþaiþ in liuhada jah þatei in auso gahauseiþ merjaiþ ana hrotam		
Mt.10.28	jah ni ogeiþ izwis þans usqimandans leika þatainei iþ saiwalai ni magandans usqiman iþ ogeiþ mais þana magandan jah saiwalai jah leika fraqistjan in gaiainnan		
Mt.10.29	niu twai sparwans assarjau bugjanda jah ains ize ni gadriusiþ ana airþa inuh attins izwaris wiljan		
Mt.10.30	aþþan izwara jah tagla haubidis alla garaþana sind		
Mt.10.31	ni nunu ogeiþ managaim sparwam batizans sijuþ jus		
Mt.10.32	saƕazuh nu saei andhaitiþ mis in andwairþja manne andhaita jah ik imma in andwairþja attins meinis saei in himinam ist		
Mt.10.33	iþ þisƕanoh saei afaikiþ mik in andwairþja manne afaika jah ik ina in andwairþja attins meinis þis saei in himinam ist		
Mt.10.34	nih ahjaiþ þatei qemjau lagjan gawairþi ana airþa ni qam lagjan gawairþi ak hairu		
Mt.10.35	qam auk skaidan mannan wiþra attan is jah dauhtar wiþra aiþein izos jah bruþ wiþra swaihron izos		
Mt.10.36	jah fijands mans innakundai is		
Mt.10.37	saei frijoþ attan aiþþau aiþein ufar mik nist meina wairþs jah saei frijoþ sunu aiþþau dauhtar ufar mik nist meina wairþs		
Mt.10.38	jah saei ni nimiþ galgan seinana jah laistjai afar mis nist meina wairþs		
Mt.10.39	saei bigitiþ saiwala seina fraqisteiþ izai jah saei fraqisteiþ saiwalai seinai in meina bigitiþ þo		
Mt.10.40	sa andnimands izwis mik andnimiþ jah sa mik andnimands andnimiþ þana sandjandan mik		
Mt.10.41	sa andnimands praufetu in namin praufetaus mizdon praufetaus nimiþ jah sa andnimands garaihtana in namin garaihtis mizdon garaihtis nimiþ		
Mt.10.42	jah saei gadragkeiþ ainana þize minnistane stikla kaldis watins þatainei in namin siponeis amen qiþa izwis ei ni fraqisteiþ mizdon seinai		
Mt.11.1	jah warþ biþe usfullida Iesus anabiudands þaim twalif siponjam seinaim ushof sik jainþro du laisjan jah merjan and baurgs ize		
Mt.11.2	iþ Iohannes gahausjands in karkarai waurstwa Xristaus insandjands bi siponjam seinaim qaþ du imma		
Mt.11.3	þû is sa qimanda þau anþarizuh beidaima		
Mt.11.4	jah andhafjands Iesus qaþ du im gaggandans gateihiþ Iohanne þatei gahauseiþ jah gasaiƕiþ		
Mt.11.5	blindai ussaiƕand jah haltai gaggand þrutsfillai hrainjai wairþand jah baudai gahausjand jah dauþai urreisand jah unledai wailamerjanda		
Mt.11.6	jah audags ist ƕazuh saei ni gamarzjada in mis		
